Category,Name,Error
Religious,Canal TV Radio Maya TGBA,URL_ERROR
French TV,Canal+ Haiti,URL_ERROR
Religious,Candelaria TV,URL_ERROR
Kids,Canela Kids,400
World TV,"like Gecko) Chrome/83.0.4103.97 Safari/537.36 CrKey/1.44.191160"" group-title=""General"",Canal TRO",403
World TV,"like Gecko) Chrome/83.0.4103.97 Safari/537.36 CrKey/1.44.191160"" group-title=""Entertainment"",Canal T",403
World TV,Canal Visof,URL_ERROR
World TV,Canal Zoom,403
World TV,CanalCosta,URL_ERROR
World TV,Canale 5,URL_ERROR
World TV,Canale 10,URL_ERROR
World TV,Canali TV,404
World TV,Cancionero TV,URL_ERROR
World TV,Canela Clasicos,400
World TV,Canela Hits,400
Religious,Abalfadhl TV,404
News,Abb Takk,400
English TV,ABC,404
English TV,ABC 5,403
World TV,Abadan,403
News,ABC 6 Indianapolis IN (WRTV),404
Music,Canela Music Presents,400
World TV,Capricho TV,404
World TV,"like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0"" group-title=""Undefined"",CarbonTV",405
World TV,Caribbean Hot 7 TV,URL_ERROR
World TV,Cariñosa TV,URL_ERROR
Anime,"like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0"" group-title=""Animation;Kids"",Cartoon Class",405
Religious,Caught-Up TV,URL_ERROR
English TV,CBBC HD,403
World TV,Catfish: De största bedragarna,404
World TV,Catfish: De største bedrag,404
World TV,Catfish: De største bedrag,404
World TV,CaTine,404
World TV,Catve2,URL_ERROR
World TV,Catve FM,URL_ERROR
World TV,Catve Master TV,URL_ERROR
World TV,Caught on Tape,403
World TV,CBC Calgary (CBRT-DT),403
News,ABC (WPLG-DT1) Miami FL,405
News,ABC News Live,403
News,"like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0"" group-title=""News"",ABN Andhra Jyothy",404
News,ABN News,400
News,"like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0"" group-title=""News"",ABP Majha",404
News,"like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0"" group-title=""News"",ABP Sanjha",404
World TV,Abya Yala TV,ERROR
Sports,CBC Sport,403
Kids,CBeebies HD,403
World TV,CBC New Brunswick (CBAT-DT),403
World TV,CBC North (CFYK-DT),403
World TV,CBC Nova Scotia (CBHT-DT),403
World TV,CBC Ottawa (CBOT-DT),403
World TV,CBC Prince Edward Island (CBCT-DT),403
World TV,CBC Saskatchewan (CBKT-DT),403
World TV,CBC Toronto (CBLT-DT),403
World TV,CBC Vancouver (CBUT-DT),403
World TV,CBC Windsor (CBET-DT),403
Religious,AC TV,URL_ERROR
Sports,"like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0"" group-title=""Sports"",ACL Cornhole TV",404
English TV,ACNN,403
Movies,Action Hollywood Movies,403
World TV,Access Media Productions Channel,403
World TV,Access Media Productions Community Channel,403
World TV,Access Media Productions Marina TV,403
World TV,Access Media Productions Monterey Channel,403
World TV,Access Media Productions Peninsula Channel,403
World TV,Access Tuolumne (Tuolumne County CA),403
World TV,Accion Mexicana,400
World TV,"like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0"" group-title=""Undefined"",ACE TV",404
World TV,"like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0"" group-title=""Undefined"",ACI On The Go",405
World TV,ACS Network,404
English TV,CBS 9 Oklahoma City OK (KWTV-DT1),405
News,Actualidad 360,403
Religious,ADB TV,URL_ERROR
Sports,CCTV-5,URL_ERROR
Sports,CCTV-5+,URL_ERROR
Movies,CCTV-6,URL_ERROR
Documentary,CCTV-9,URL_ERROR
World TV,ACW UG TV,URL_ERROR
World TV,Addis TV,URL_ERROR
World TV,CCTV-1,URL_ERROR
World TV,CCTV-2,URL_ERROR
World TV,CCTV-3,URL_ERROR
World TV,CCTV-4,URL_ERROR
World TV,CCTV-7,URL_ERROR
World TV,CCTV-8,URL_ERROR
Sports,CBS Sports Golazo Network,403
Sports,CBS Sports HQ,403
Music,CCTV-11,URL_ERROR
Religious,His Grace TV,404
News,Hispan TV,ERROR
Documentary,History Channel,URL_ERROR
Documentary,History Channel Japan,404
Movies,"like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0"" group-title=""Undefined"",History Film Chann",405
Music,Hits 360 TV,URL_ERROR
World TV,Hirshabelle TV,URL_ERROR
World TV,History 365,403
World TV,History and Warfare Now,403
World TV,History and Warfare Now,403
World TV,History Hit,403
World TV,"like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0"" group-title=""Undefined"",HITS MEXICANOS",405
World TV,Taftan,403
Sports,Adjarasport 1,403
Anime,ADN TV+,404
News,Adnkronos,URL_ERROR
Documentary,Adventure Earth,404
News,Advocate Broadcasting Network,403
Movies,Afghan Nobel Movies,URL_ERROR
Religious,Africa TV 2,404
Religious,Africa TV3,404
News,Africanews,404
News,"like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0"" group-title=""News"",Africanews",404
World TV,Aeolos TV,URL_ERROR
World TV,Afghan Nobel TV,URL_ERROR
World TV,Aflak,403
News,CCTV-13新闻,URL_ERROR
Music,CCTV-15,URL_ERROR
Sports,CCTV-16,URL_ERROR
Sports,CDN Deportes,URL_ERROR
News,CDNN 23,404
Documentary,CETV-4,URL_ERROR
Religious,CGNTV South Korea,URL_ERROR
World TV,CCTV-17,URL_ERROR
World TV,CDTV,444
World TV,Ceiba Vision Canal 36,403
World TV,Celeb Reality,404
World TV,Celebrity Name Game,403
World TV,Celebrity Scene TV,403
World TV,CETV1,URL_ERROR
World TV,CETV2,URL_ERROR
World TV,"like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0"" group-title=""Undefined"",CG Central",405
Religious,Chabiba TV,404
News,Channel 9,URL_ERROR
Music,Hitz TV,403
World TV,Channel 4,403
World TV,Channel 5,403
World TV,Channel 5,404
World TV,Channel 5,403
World TV,Channel 7,403
World TV,Channel 7,403
World TV,Channel 7,403
World TV,Channel 7 Ukraine,403
World TV,Channel 8,404
Religious,Ahlulbayt TV,404
World TV,AFV en Español,URL_ERROR
World TV,AgroBrasil TV,URL_ERROR
World TV,Agrotendencia TV,403
World TV,大爱海外,URL_ERROR
News,Channels 24,403
News,Channels TV,403
World TV,Channel 13,URL_ERROR
World TV,Channel 200,403
World TV,Channel247,ERROR
World TV,Channel A,403
World TV,Channel Fight,404
World TV,Channel Ginga,404
World TV,"like Gecko Chrome/144.0.0.0 Safari/537.36"" group-title=""Undefined"",Channel Jowo",403
World TV,Channel K,URL_ERROR
World TV,Channel Law,URL_ERROR
World TV,Channel One,URL_ERROR
World TV,Channel U,404
World TV,Charana TV,URL_ERROR
News,Chekad TV,404
World TV,Cheaters,403
World TV,Cheers,404
World TV,Chef Roc Show,403
World TV,ChileVision,URL_ERROR
World TV,Chill Latino,400
News,Al Alam,ERROR
News,Al Iraqia News,401
Documentary,Al Jazeera Documentary,403
News,Al Mamlaka TV,403
World TV,Al Iraqia,401
World TV,欧美大片2,ERROR
News,Cholusat Sur 36,URL_ERROR
English TV,Chosen TV English,403
Movies,Cine 34,URL_ERROR
World TV,Choice,URL_ERROR
World TV,Çiftçi TV,URL_ERROR
World TV,Cine Aliens,404
World TV,Cine en Espanol,403
Movies,Cine Romantico,404
Movies,Cine Western,404
News,City 41,URL_ERROR
World TV,"like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0"" group-title=""Undefined"",CinePast",405
World TV,Cinevision Canal 19,404
World TV,Cira TV,503
World TV,Cirque du Soleil,403
World TV,City Channel,403
World TV,City Theater Channel,URL_ERROR
Kids,Clan,URL_ERROR
Sports,Claro Sports Mexico,403
Movies,Classic Cinema,403
Religious,Clergy TV,404
World TV,Clarity 4K,URL_ERROR
World TV,Clic TV,404
Religious,cLoveworld TV,400
Music,Clubbing TV France,404
Religious,CMB Televisión,URL_ERROR
English TV,CMTv Kenya,404
